ModelStudy,ha,Live,Deadwood,Litter,Soil,Litter_Soil,live_den,dead_den,lit_den,soil_den,lit_soil_den
This Study,"268,728,700.00",16201229784,2731344552,2238857252,30855569824,32955781372,63.64032104,10.13822467,8.273162468,114.3627204,122.6358829
Liu et al. (2020),"273,737,400.00",16248000000,2641000000,3569000000,40753000000,44322000000,59.35615667,9.647932654,13.03804303,148.8762588,161.9143018
USGS LandCarbon,"232,380,100.00",14522000000,5663000000,0,0,0,62.49244234,24.3695566,0,0,0
SOCCOR2 (2018),"304,757,000.00",17105000000,2570000000,2680000000,28774000000,31454000000,56.12668454,8.432948218,8.793891527,94.41620701,103.2100985
EPA (2020) LULUCF,"279,787,000.00",17940000000,2753000000,3640000000,31563000000,35203000000,64.12020573,9.839628003,13.00989681,112.8108168,125.8207136
Williams et al. (2012),"230,300,000.00",17017000000,0,0,0,0,73.89057751,0,0,0,0
Wilson et al. (2013),"486,159,500.00",15234000000,2349000000,4717000000,17300120000,22017120000,31.33539507,4.831747605,9.702577035,35.58527603,45.28785306
"EPA (2013), Ch7","279,781,000.00",16664000000,2342000000,4880000000,17306000000,22186000000,59.56087082,8.370832901,17.44221373,61.85552271,79.29773644
"USDA (2008), FIA-FORCARB2","251,558,000.00",18618000000,2569000000,4624000000,15544000000,20168000000,74.01076491,10.21235659,18.38144682,61.79091899,80.17236582
